ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_vir_wp,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,ship_4_x,ship_4_y,ship_4_u,ship_4_psi,ship_4_wp,ship_4_x_pred,ship_4_y_pred,time
275000.03,7044709.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048110.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1088309433,7054104.980610126,279822.93,7048146.78,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270457.99975227145,7055633.908504632,281770.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.039528341,7052000.019153735,20
275000.05,7044720.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048125.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10817580146,7054119.980610126,279815.17,7048153.08,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270450.1945167766,7055640.15191215,281770.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.039528341,7052000.019153735,21
275000.07,7044731.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048130.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10795687546,7054124.980610126,279815.17,7048153.08,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270450.1945167766,7055640.15191215,281750.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952841065,7052000.019186486,22
275000.1,7044742.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048130.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10795687546,7054124.980610126,279799.62,7048165.66,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270434.5743247573,7055652.644096155,281750.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952841065,7052000.019186486,23
275000.14,7044753.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048135.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1077376557,7054129.980610126,279791.83,7048171.94,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270426.75940021896,7055658.8929134365,281740.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952844534,7052000.019202895,24
275000.19,7044764.0,11.0,1.57,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048140.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10751815565,7054134.980610126,279791.83,7048171.94,10.0,2.46,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270426.75940021896,7055658.8929134365,281740.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952844534,7052000.019202895,25
275000.24,7044775.0,11.0,1.56,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048140.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.10751815565,7054134.980610126,279776.25,7048184.48,10.0,2.47,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270411.12143776054,7055671.375869132,281720.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285144,7052000.019235801,26
275000.24,7044775.0,11.0,1.56,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048150.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1070783232,7054144.980610126,279776.25,7048184.48,10.0,2.47,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270411.12143776054,7055671.375869132,281720.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285144,7052000.019235801,27
275000.38,7044797.0,11.0,1.56,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048150.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1070783232,7054144.980610126,279776.25,7048184.48,10.0,2.47,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270411.12143776054,7055671.375869132,281710.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285487,7052000.0192523,28
275000.38,7044797.0,11.0,1.56,"[[274962, 7045017, 11.0], [275212, 7047967, 11.0], [276162, 7051517, 11.0], [275462, 7052217, 11.0], [275512, 7054517, 11.0], [274962, 7055067, 11.0], [274962, 7057817, 11.0]]","[[275000, 7044500, 11.0], [275000, 7060000, 11.0]]",0.0,275000.0,7048155.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7056000, 5.0]]",275000.1068579879,7054149.980610126,279760.65,7048197.0,10.0,2.47,"[[280000, 7048000, 10.0], [270000, 7056000, 10.0]]",270395.49787428963,7055683.866390004,281680.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395285848,7052000.019301973,29
